"CID","Result","query"
"10342051","The Henry's Law constant for esfenvalerate is estimated as 4.1X10-7 atm-cu m/mole(SRC) derived from its vapor pressure, 1.5X10-9 mm Hg(1), and water solubility, 2.0X10-3 mg/L(1). This Henry's Law constant indicates that esfenvalerate is expected to be essentially nonvolatile from water surfaces(2). Esfenvalerate is not expected to volatilize from dry soil surfaces(SRC) based upon its vapor pressure(1).","ESFENVALERATE"
"11534837","The Henry's Law constant for tefluthrin is estimated as 1.6X10-3 atm-cu m/mole(SRC) derived from its vapor pressure, 6.0X10-5 mm Hg(1), and water solubility, 2.0X10-2 mg/L(2). This Henry's Law constant indicates that tefluthrin is expected to volatilize from water surfaces(3). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec)(3) is estimated as 7 hours(SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec)(3) is estimated as 8 days(SRC). However, volatilization from water surfaces is expected to be attenuated by adsorption to suspended solids and sediment in the water column. The estimated volatilization half-life from a model pond is 11 months if adsorption is considered(4). Tefluthrin's estimated Henry's Law constant indicates that volatilization from moist soil surfaces may occur(SRC). Tefluthrin is not expected to volatilize from dry soil surfaces(SRC) based upon its vapor pressure(1).","TEFLUTHRIN"
"11954021","The Henry's Law constant for chlordane is 4.86X10-5 atm-cu m/mole(1). The Henry's Law constants for gamma-chlordane and alpha-chlordane have been experimentally determined to be 1.3X10-3 and 8.6X10-4 atm-cu m/mole at 23 °C, respectively, from distilled water(2). These Henry's Law constants indicate that chlordane is expected to volatilize from water surfaces(3). Based on the Henry's Law constant of chlordane, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec)(3) is estimated as 42 hours(SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec)(2) is estimated as 19 days(SRC). Chlordane's Henry's Law constant indicates that volatilization from moist soil surfaces may occur(SRC). However, volatilization from water surfaces is expected to be attenuated by adsorption to suspended solids and sediment in the water column(6). The volatilization half-life from a model pond is about 103 years when adsorption is considered(4). Chlordane was found to volatilize from a flask containing natural water. However, when sediment was added to the flask, more than 80% of the chlordane initially in solution was recovered from the sediment after 12 weeks demonstrating that adsorption to sediment can significantly attenuate the importance of volatilization(9). Chlordane is not expected to volatilize from dry soil surfaces(SRC) based upon a vapor pressure of 9.75X10-6 mm Hg(5). In soil volatility studies, 2% of the chlordane sprayed onto a dry fallow soil surface was lost in 50 hrs while 50% was lost from a moist soil surface in 60 hrs(10). Dry soil was found to restrict vapor losses of chlordane and other pesticides; shallow incorporation into the soil greatly restricted volatilization losses(4). Chlordane volatilized quite rapidly from sprayed alfalfa plants with a 95% loss in 21 days(11). Nevertheless, based upon knowledge that the majority of the chlordane probably enters water as runoff from urban and agricultural soils(6) and that monitoring data indicate that sediment concn of chlordane are much higher in the overlying water(7,8), volatilization from surface waters may not be as fast as predicted(SRC).","CHLORDANE"
"11966","The Henry's Law constant for t-butyl peroxy benzoate is estimated as 2.1X10-4 atm-cu m/mole(SRC) using a fragment constant estimation method(1). This Henry's Law constant indicates that peroxybenzoic acid, t-butyl ester is expected to volatilize from water surfaces(2). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec)(2) is estimated as 10 hours(SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec)(2) is estimated as 7 days(SRC). t-Butyl peroxy benzoate is not expected to volatilize from dry soil surfaces(SRC) based upon an estimated vapor pressure of 2.3X10-2 mm Hg(SRC), determined from a fragment constant method(3).","BENZENECARBOPEROXOIC ACID, 1,1-DIMETHYLETHYL ESTER"
"12111","The Henry's Law constant for bisphenol F is estimated as 5.2X10-12 atm-cu m/mole(SRC) using a fragment constant estimation method(1). This Henry's Law constant indicates that bisphenol F is expected to be essentially nonvolatile from water and moist soil surfaces(2). Bisphenol F is not expected to volatilize from dry soil surfaces(SRC) based upon an estimated vapor pressure of 3.7X10-7 mm Hg(SRC), determined from a fragment constant method(1).","Bisphenol F"
"12310947","The Henry's Law constant for aldrin is 4.4X10-5 atm-cu m/mole(1). This Henry's Law constant indicates that aldrin is expected to volatilize from water surfaces(2). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec)(2) is estimated as 27 hours(SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec)(2) is estimated as 19 days(SRC). However, volatilization from water surfaces is expected to be attenuated by adsorption to suspended solids and sediment in the water column(SRC). The estimated volatilization half-life from a model pond is 52 years if adsorption is considered(3). The volatile loss of aldrin from sterile, deionized water kept at 30 °C was studied over a 30 day period; the volatilization half-life of aldrin from the open flask (1-5 ug aldrin per ml distilled water at a depth of approximately 1 cm in a 4 ml Wheaton vial) was 5.8 days(4). Aldrin's Henry's Law constant(1) indicates that volatilization from moist soil surfaces may occur(SRC). Volatilization of aldrin from soil is more rapid when it is applied to the soil surface rather than incorporated into the soil(4). A loss of 50% from a surface application was estimated to occur within 1-2 weeks after application compared to 10-15 weeks for soil-incorporated aldrin(4). Aldrin is not expected to volatilize from dry soil surfaces(SRC) based upon a vapor pressure of 1.2X10-4 mm Hg(5)..
SOIL: Aldrin was applied at 4 ppm to wet and dry quartz and Plainfield sands. Analysis of air passed over the sand at 1 l/min windspeed for 6 hrs at 22 °C and 38% relative humidity revealed no volatilization of aldrin from the dry Plainfield sand and only a trace from the dry quartz sand (<0.50% of initial aldrin). Four percent and 2.2% of the initial aldrin volatilized from wet quartz and Plainfield sands, respectively, at the same relative humidity. At 100% relative humidity, 1.3% and 6.2% of the aldrin volatilized from dry Plainfield and quartz sands, respectively, and 4.5% and 7.3% of the aldrin volatilized from the wet Plainfield and quartz sands, respectively(1). Following passage of air at 1 l/min windspeed at 22 °C and 100% relative humidity over quartz sand and Miami silt loam treated with 4 ppm aldrin, 37.9% and 16.3% of the initial aldrin were recovered in the vapor from the quartz sand and Miami silt loam, respectively, and 55.3% and 79.7% recovered from the two soils, respectively(1). Volatilization rates of aldrin from sand, loam, and humus were 1.1%, 0.2% and 0.8%/ml evaporated water after the first hour and 0.6%, 0.2%, and 0.1%/ml evaporated water in the second hour, respectively(2). Aldrin was assigned a vaporization index of 1 (<0.1 kg/ha/yr) for volatilization from soil(3)..
WATER: After 20 hr at 26.5 °C, 93% of the aldrin initially present (24 ppb), had codistilled with water(1). Half-lives for volatilization of aldrin from pure water and waters of the San Francisco Bay, the American River, and the Sacramento River (900 ml of a 1 part per trillion aldrin solution placed in 5 liter flask) are 0.38 hr, 0.59 hr, 0.60 hr, and 0.60 hr, respectively(2). The volatilization rate of aldrin from water was 16.3%/ml evaporated water after one hour and 6.0%/ml evaporated water in the second hour(3). The estimated volatilization half-life of aldrin from 1 m deep water at 25 °C is 7.7 days(4).","ALDRIN"
"12358480","The Henry's Law constant for endrin is 6.4X10-6 atm-cu m/mole(1). This Henry's Law constant indicates that endrin is expected to volatilize from water surfaces(2). However, volatilization from water surfaces is expected to be severely attenuated by adsorption to suspended solids and sediment in the water column(SRC). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec)(2) is estimated as 8 days if adsorption is neglected(SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec)(2) is estimated as 89 days if adsorption is neglected(SRC). The volatilization half-life from a model pond is about 13 years when adsorption is considered(3). Endrin's Henry's Law constant(1) indicates that volatilization from moist soil surfaces may occur; however adsorption is expected to attenuate this process(SRC). The volatilization half-life of endrin from a sugarcane soil was reported as 63 days(4). The volatilization half-life of endrin in laboratory experiments using distilled water was reported as 5.33 days(5).","ENDRIN"
"12433","A pKa of 1.48(1) indicates dibromoacetic acid will exist almost entirely in the anion form at pH values of 5 to 9 and therefore volatilization from water surfaces is not expected to be an important fate process(2). The pKa of dibromoacetic acid indicates that volatilization from moist soil surfaces is unlikely to occur(SRC). Dibromoacetic acid is not expected to volatilize from dry soil surfaces(SRC) based upon an estimated vapor pressure of 2.3X10-2 mm Hg(SRC), determined from a fragment constant method(3).","Dibromoacetic acid"
"13785700","The Henry's Law constant for oxychlordane is estimated as 8.6X10-8 atm-cu m/mole(SRC) using a fragment constant estimation method(1). This value indicates that oxychlordane will be essentially nonvolatile from water surfaces(2,SRC). Based on this Henry's Law constant, the volatilization half-life from a model river (1 m deep, flowing 1 m/sec, wind velocity of 3 m/sec) is estimated as approximately 872 days(2,SRC). The volatilization half-life from a model lake (1 m deep, flowing 0.05 m/sec, wind velocity of 0.5 m/sec) is estimated as approximately 6,349 days(2,SRC). Adsorption processes may considerably attenuate volatilization from water surfaces(SRC). Oxychlordane's Henry's Law constant(1,SRC) indicates that volatilization from moist soil surfaces is not expected(SRC). Oxychlordane is not expected to volatilize from dry soil surfaces based on an estimated vapor pressure of 6.9X10-6 mm Hg(SRC), determined from a fragment constant method(3).","OXYCHLORDANE"
"13836","Chlormequat chloride is a quarternary cation at pH values of 5 to 9 and therefore volatilization from water surfaces is not expected to be an important fate process(SRC). Chlormequat chloride is not expected to volatilize from dry soil surfaces(SRC) based upon a vapor pressure of 7.50X10-8 mm Hg(1).","CHLORMEQUAT CHLORIDE"
